emp_no,birth_date,first_name,last_name,gender,hire_date
10001,15-01-1980,John,Smith,M,15-07-2001
10002,25-03-1982,Emily,Johnson,F,28-02-2005
10003,10-12-1975,Michael,Williams,M,10-11-2003
10004,20-05-1988,Jessica,Brown,F,15-09-2007
10005,30-08-1984,David,Jones,M,20-04-2002
10006,12-06-1981,Sarah,Anderson,F,18-03-2004
10007,05-10-1979,Christopher,Davis,M,22-08-2006
10008,17-09-1983,Anna,Miller,F,30-11-2008
10009,28-02-1986,Ryan,Moore,M,14-05-2010
10010,19-07-1989,Amanda,Wilson,F,26-03-2009
